frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
1,SCDR,1/31/16,2:15 pm,1,28,RY,6,0,RY,,,,,,,, -RBl,R,,,-,,,,0,
,,,,,,,,,GWY,G,TP,,,,,, +RBl,R,,,,,,,,
,,,,,,,,,RBl,R,TP,,,,,, -GWY,,WEB,,,,,,,
,,,,,,,,,RW,R,,,,,,, +GWY,,,,,,,,,
,,,,,,,,,RR,R,,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,TP,,,,,,,,,,,,,,,
,,2/4/16,2:45 pm,2,3,RWY,1,0,RWR,R,,L,,,,,,,,,-,,,,,
,,2/5/16,11:45 am,3,31,GBG,6,0,GBG,G,,W,,,,, -RY,G,,,G,,,,1,
,,,,,,,,,RY,G,TP-G,AB,,,,, -RBW,G,,,,,,,,
,,,,,,,,,RBW,G,,AB,,,,, +RY,,,W,,,,,,
,,,,,,,,,GB ,G,TP-G,L,,,,, -GB,,,,,,,,,
,,,,,,,,,GWY,G,,T,,,,, +GB,,,AB,,,,,,
,,,,,,,,,GYB,G,,T,,,,, -RBW,,,,,,,,,
,,2/8/16,10:21 am,4,39,GWY,9,,GWY,G,TP-R,W,,,,, -RG,R,,,R,,,,0,
,,,,,,,,,RG,,,L,,,,, -RYG,,,,,,,,,
,,,,,,,,,RBR,,,L,,,,, -GWY,,,,,,,,,
,,,,,,,,,RYG,G,,,,,,, -RBR,,,,,,,,,
,,,,,,,,,RBY,R,TP-R,AB,,,,, -RYR,,,,,,,,,
,,,,,,,,,RYR,R,,T,,,,, -GWG,,,,,,,,,
,,,,,,,,,GWG,R,,L,,,,, +RBR,,,T,,,,,,
,,,,,,,,,RY,R,,,,,,, +GWG,,TP-R,,,,,,,
,,,,,,,,,RBl,R ,,,,,,, +RYR,,,,,,,,,
,,2/9/16,11:20 am,5,16,RBY,7,,RBY,G,TP- ,H,,,,, -GWY,,WEB,,,,,,0,
,,,,,,,,,RG,R,,W,,,,,_GYBl,,,,,,,,,
,,,,,,,,,GWY,G,,L,,,,, -RG,,WEB,,,,,,,
,,,,,,,,,GYBl,R,,L,,,,, -GBW,,,,,,,,,
,,,,,,,,,GBW,R,,W,,,,, +GBW,,TP,AB,,,,,,
,,,,,,,,,RY,G,,AB,,,,, -RY,G,,,,,,,,
,,,,,,,,,RYR,G,,W,,,,, -RG,,,L,,,,,,
,,,,,,,,,,,,,,,,, +GWY,,TP-G,L,,,,,,
,,,,,,,,,,,,,,,,, -RBY,,,,,,,,,
,,2/11/16,10:01 am,6,9,RG,8,0,RG,G,TP-G,AB,,,,, -RG,,,, -,,,,0,
,,,,,,,,,GWY,R,TP-R,W,,,,, +RG,,,H,,,,,,
,,,,,,,,,GB,R,,L,,,,, -RG,,,,,,,,,
,,,,,,,,,RBY,G,TP-G,AN,,,,, -RBY,UP,,,,,,,,
,,,,,,,,,GYBl,R,,W,,,,, -RY,UP,,,,,,,,
,,,,,,,,,RYW ,R,,W,,,,, +RBY,,TP-G,H,,,,,,
,,,,,,,,,RY ,G,TP-G,AN,,,,, +RG,,,T,,,,,,
,,,,,,,,,RBl,R,,T,,,,,,,,,,,,,,
,,2/15/16,9:30 am,7,150,RYBl,7,0,RYBl,G,,L,10,RB,G,, -GY,G,,,,,,,0,
,,,,,,,,,RBY,G,TP-G,L,,GY,G,, +GY,,,AB,,,,,,
,,,,,,,,,RYG,G,TP-G,W,,RG,G,,,,,,,,,,,
,,,,,,,,,RBl,R,,L,,RWBl,G,,,,,,,,,,,
,,,,,,,,,GBG,G,,W,,RYR,G,,,,,,,,,,,
,,,,,,,,,GY ,,,L,,GWG,G,,,,,,,,,,,
,,,,,,,,,RBR,R,,W/H,,RBW,G,,,,,,,,,,,
,,,,,,,,,,,,,,RR,R,,,,,,,,,,,
,,,,,,,,,,,,,,GYW,G,,,,,,,,,,,
,,,,,,,,,,,,,,RY,R,,,,,,,,,,,
,,2/16/16,9:30 am,8,43,RR,11,0,RR,G,TP-G,L,3,RBY,R,, -RR,,,,G,,,,1,
,,,,,,,,,GBY,G,,,,RYB,G,, +RR,,,,,,,,,
,,,,,,,,,RBY,R,,L,,RBl,R,, -RR,,,,,,,,,
,,,,,,,,,GYG,R,,,,,,, -RR,G,,,,,,,,
,,,,,,,,,RBW,G,TP-G,L,,,,, -GBY,,WEB,,,,,,,
,,,,,,,,,GBG,G,,H,,,,, -GYG,,,,,,,,,
,,,,,,,,,RWB,G,,H,,,,, +GYG,,,,,,,,,
,,,,,,,,,RBR,R,,,,,,, -GBG,,,,,,,,,
,,,,,,,,,RY,R,TP -Down,H,,,,, -RBW,,WEB,,,,,,,
,,,,,,,,,GB,G,,T,,,,, +RBW,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,,,,,,,,,,,
,,2/17/16,2:20 pm,9,30,UNMARKED,2,0,UNMARKED,R,TP-R,H,4,RYBl,R,,,,,,R,,390,,4,
,,,,,,,,,GBR,R,,W,,RBl,R,,,,,,,,,,,
,,,,,,,,,,,,,,GBY,G,,,,,,,,,,,
,,,,,,,,,,,,,,GWY,G,,,,,,,,,,,
,,2/18/16,9:42 am,10,105,RYG,6,0,RYG,R,,L,4,RWB,G,, -RY,R,,,R,,360,,4,
,,,,,,,,,RY,R,,H,,RR,G,, +RY,,TP-R ,H,,,,,,
,,,,,,,,,RBR,R,TP-R,H,,GG,G,, -RY,R,WEB,,,,,,,
,,,,,,,,,RBl,R,,W,,GBl,G,, -GWBl,R,,,,,,,,
,,,,,,,,,GBR,R,,AB,,,,, -RBl,R,,,,,,,,
,,,,,,,,,GWBl,R,,W,,,,, +RBl,,,,,,,,,
,,2/19/16,11:10 am,11,22,RYBl,5,0,RYBl,R,TP-R,L,3,RBl,R,, -GBl,,,,,,,,0,
,,,,,,,,,UNMARKED,G,TP-G,L,,GYG,G,, -RWR,,,,,,,,,
,,,,,,,,,GBl,G,,L,,GYB,G,, +RWR,,,,,,,,,
,,,,,,,,,RR,G,,L,,,,, +GBl,,,,,,,,,
,,,,,,,,,RBR,G,,H,,,,,,,,,,,,,,
,,2/20/16,5:20 pm,12,10,RBR,5,0,RBR,UP,,L,,NO COMERS,,,,,,,,,,,0,
,,,,,,,,,GBl,G,,H/AN,,,,,,,,,,,,,,
,,,,,,,,,RG,UP,,L,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,W,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,,,,,,,,,,,,,
,,2/22/16,11:01 am,13,22,UNMARKED,5,0,UNMARKED,G,,,3,GWG,G,, -GBl,G,,,-,,,,0,
,,,,,,,,12,RY,R,,H,,RR,G,, -GBR,,,,,,,,,
,,,,,,,,20,GBR,G,,L,,RYG,R,, -RY,,WEB,,,,,,,
,,,,,,,,29,GBG,G,,W,,,,, +RY,,TP-R,,,,,,,
,,,,,,,,48,GBl,G,,AB,,,,,,,,,,,,,,
,,2/23/16,10.15 AM,14,112,UNMARKED,10,0,UNMARKED,R,TP-R,AB,1,GBG,G,, -RG,,,,,,,,1,
,,,,,,,,,UNMARKED,G,,L,,,,, +RG,,,AB,,,,,,
,,,,,,,,,UNMARKED,R,,W,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,L/AB,,,,,,,,,,,,,,
,,,,,,,,,GWG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,AB,,,,,,,,,,,,,,
,,2/25/16,10.15AM,15,20,UNMARKED,6,0,UNMARKED,G,TP-G,W,0,,,, -GBG,,,,G,,560,,4,
,,,,,,,,,RYG,G,,W/AB,,,,, -RYG,,WEB,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,, +RYG,,,L/AB,,,,,,
,,,,,,,,,UNMARKED,R,TP-R,L,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,W,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,,,,,,,,,,,
,,3/8/16,10:45AM,16,8,UNMARKED1,13,,UNMARKED,R,,,1,GBl,G,,,,,,,,,,0,
,,,,,,,,,UNMARKED,R,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,,,,,,,,,,,,,,,
,,3/9/16,3:15PM,17,7,UNMARKED,11,0,UNMARKED,UP,,L,2,RG,R,,,,,,,,,,0,
,,,,,,,,,UNMARKED,UP,,H,,GWBl,G,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,W,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,?,,AB,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,?,,AB,,,,,,,,,,,,,,
,,2/10/16,10:00AM,18,26,UNMARKED,14,0,UNMARKED,R,,W,0,,,, -RB,,,,,,,,0,
,,,,,,,,,RYBl,R,,AN,,,,, -RG,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,TP-R,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RG,UP,,L,,,,,,,,,,,,,,
,,,,,,,,,RB,,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,T,,,,,,,,,,,,,,
,,3/12/16,5:45PM,19,19,UNMARKED,5,,UNMARKED,UP,,W,2,RYG,G,, -UNMARKED (STING),,,,,,,,0,
,,,,,,,,,UNMARKED,R,,W/AB,,RY,G,, -UNMARKED,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,GOT STUNG,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,W,,,,,,,,,,,,,,
,,3/13/16,10:30PM,20,4,UNMARKED,10,,UNMARKED ,UP,,L,2,UNMARKED,R,, -RYG,,,,,,,,,
,,,,,,,,,RYG,G,,L,,UNMARKED,G,, -RG,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,,,, +RG,,,H,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,,,, +RYG,,,H,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,AN,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,H,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,L,,,,,,,,,,,,,,
,,3/14/16,12:40PM,21,15,UNMARKED,3,,UNMARKED,UP,,L,3,UNMARKED,G,, -UNMARKED,,WEB,,,,,,0,
,,,,,,,,,UNMARKED,UP,TP-UP,L,,UNMARKED,G,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,L,,UNMARKED,G,,,,,,,,,,,
,,3/15/16,10:35AM,22,38,RYG,7,,RYG,UP,,L/W,3,UNMARKED,R,, -UNMARKED,,,,,,,,0,
,,,,,,,,,UNMARKED,R,,L/H,,UNMARKED,G,, +UNMARKED,,,L,,,,,,
,,,,,,,,,UNMARKED,R,TP-UP,L/AB,,UNMARKED,G,,,,,,,,,,,
,,,,,,,,,RG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,?,,L,,,,,,,,,,,,,,
