frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
29,SCDR,5/11/16,12:40 pm,1,7,GYB,4,0,GYB,G,TP-G,T/L/H,4,GG,G,,,,,,,,,,,
,,,,,,,,1,GBR,G,,AB/T,,GR,G,,,,,,,,,,,
,,,,,,,,3,RYR,R,,H/AB,,RY,R,,,,,,,,,,,
,,,,,,,,6,GWB,G,TP-R,AN/H,,GWG,R,,,,,,,,,,,
,,5/11/16,3:30 pm,2,4,GWB,6,0,GWB,R,,H/L,1,RYW,R,, -GYG,R,,,R,,,,2,
,,,,,,,,,GWBl,R,TP-R,W/T,,,,, -RBR,,,,,,,,,
,,,,,,,,,GYG,G,,W/T,,,,, -GWBl,,WEB,,,,,,,
,,,,,,,,,RBY,R,TP-R,L,,,,, +GWBl,,,H,,,,,,
,,,,,,,,,RBR,R,,L/W,,,,,,,,,,,,,,
,,,,,,,,,RYG,G,TP-G,L/AB,,,,,,,,,,,,,,
,,5/12/16,11:45 am,3,4,GBR,7,0,GBR,R,,L,3,RBW,G,, -RYG,,,,,,,,0,
,,,,,,,,,RYG,G,,W,,GWY,G,, -RY,,,,,,,,,
,,,,,,,,,GWB,R,,L,,RBY,G,, -RYW,,,,,,,,,
,,,,,,,,,GYB,R,TP-R,L,,,,, +RYG,,,T,,,,,,
,,,,,,,,,RYW,R,,L,,,,, +RY,,,AB,,,,,,
,,,,,,,,,RY,R,,W,,,,, +RYW,,,AB,,,,,,
,,,,,,,,,GBW,R,,AB,,,,,,,,,,,,,,
,,5/12/16,12:46 pm,4,14,GBR,4,0,GBR,R,TP-R,AB,2,RY,R,, -RYW,,,,R,123,238,95,4,
,,,,,,,,,RYW,R,,W,,RWY,G,, +RYW,,,L/W,,,,,,
,,,,,,,,,RYG,G,,L,,,,, -RYG,,,,,,,,,
,,,,,,,,,GWR,G,,AN,,,,, -GWR,,,,,,,,,
,,5/12/16,2:24 pm,5,50,GWR,4,0,GWR,G,,AN/W,2,RYBl,G,, -RYG,G,,,G,394,590,196,4,
,,,,,,,,,RYG,G,,W,,GY,G,, -GWG,,,,,,,,,
,,,,,,,,,GWG,R,,W,,,,, -RYB,,,,,,,,,
,,,,,,,,,RYB,R,,L/W,,,,, +GWG,,TP-R,AN,,,,,,
,,,,,,,,,,,,,,,,, -GWR,,,,,,,,,
,,,,,,,,,,,,,,,,, +GWR,,TP-G,H/T,,,,,,
,,,,,,,,,,,,,,,,, -GWG,,,,,,,,,
,,5/12/16,3:05 pm,6,4,GBW,6,0,GBW,G,TP-G,W,2,RWR,R,, -GBR,,WEB,,,,,,0,
,,,,,,,,,GBR,R,,AN,,RR,R,, -GWG,,,,,,,,,
,,,,,,,,,GYG,R,TP-R,T,,,,, -GYR,R,,,,,,,,
,,,,,,,,,GWG,R,TP-DOWN,T,,,,, -GYBl,,,,,,,,,
,,,,,,,,,GR,G,TP-G,T/L,,,,, +GYBl,,,L,,,,,,
,,,,,,,,,GYBl,G,,AB,,,,, +GWG,,,T,,,,,,
,,,,,,,,,,,,,,,,, -GR,,,,,,,,,
,,,,,,,,,,,,,,,,, +GR,,,H,,,,,,
,,,,,,,,,,,,,,,,, +GBR,,,AB,,,,,,
,,,,,,,,,,,,,,,,, -GWG,R,,,,,,,,
,,,,,,,,,,,,,,,,, -GR,,,,,,,,,
,,,,,,,,,,,,,,,,, +GWG,,TP-R,T,,,,,,
,,5/13/16,12:41 pm,7,8,RYG,7,0,RYG,G,,T/W/H,3,GW,R,, -RW,,,,G,123,,,3,
,,,,,,,,,GWY,G,TP-G,AB,,RYB,R,, +RW,,,L,,,,,,
,,,,,,,,,RW,R,TP-R,AN/H,,RBY,G,, -RYG,,,,,,,,,
,,,,,,,,,GG,G,TP-G,L,,,,, +RYG,,,H,,,,,,
,,,,,,,,,GBW,G,,T/H,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,L,,,,,,,,,,,,,,
,,,,,,,,,R_,G,,,,,,,,,,,,,,,,
,,5/13/16,,8,43,GWB,4,0,GWB,R,TP-R,AN/L,8,GWR,R,, -RYR,,,,R,,337,,4,
,,,,,,,,0,RYR,R,,W,,RW,R,, -GWB,,,,,,,,,
,,,,,,,,0,GR,G,TP-G,W/H,,GYBl,G,, +GWB,,,L,,,,,,
,,,,,,,,137,RYW,R,TP-G,AB/L/AB,,RW,R,, -RYW,,,,,,,,,
,,,,,,,,,,,,,,GBR,G,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,G,,,,,,,,,,,
,,,,,,,,,,,,,,RY,R,,,,,,,,,,,
,,,,,,,,,,,,,,GBl,R,,,,,,,,,,,
,,5/13/16,3:46 pm,9,23,GR,2,0,GR,R,TP-R/WEB,AN,6,GBW,G,, -GR,,,,R,299,375,76,4,
,,,,,,,,,GWB,R,TP-R,H,,RYG,G,,,,,,,,,,,
,,,,,,,,,,,,,,RYBl,R,,,,,,,,,,,
,,,,,,,,,,,,,,RYB,R,,,,,,,,,,,
,,,,,,,,,,,,,,RYW,R,,,,,,,,,,,
,,,,,,,,,,,,,,RY,R,,,,,,,,,,,
,,5/13/16,4:45 pm,10,2,GBR,6,,GBR,G,,T,4,RYG,G,, -RWR,,,,,,,,0,
,,,,,,,,,GW,G,TP-G,L/AB,,GB,G,, -GYBl,,,,,,,,,
,,,,,,,,,GWR,R,,AB/H,,GWBl,R,, +GYBl,,,T,,,,,,
,,,,,,,,,RWR,R,,W,,RB,R,, -GBR,,,,,,,,,
,,,,,,,,,GYBl,G,,W,,,,, +RWR,,,T,,,,,,
,,,,,,,,,R_,R,,T,,,,, -RWR,,WEB,,,,,,,
,,,,,,,,,,,,,,,,, +GBR,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +RWR,,,T,,,,,,
,,,,,,,,,,,,,,,,, -RWR,,,T,,,,,,
,,,,,,,,,,,,,,,,, -GYBl,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWR,,,T,,,,,,
,,5/14/16,12:30 pm,11,8,RYBl,5,0,RYBl,R,TP-R,T/L,4,GWY,R,, -RB,,,,R,142,,,3,
,,,,,,,,,RYB,G,TP-G,L,,GBR,R,, -GR,,,,,,,,,
,,,,,,,,,GR,G,,L,,RBR,G,, -RWG,,,,,,,,,
,,,,,,,,,RB,R,,W,,GWBl,G,, +RWG,,,AB,,,,,,
,,,,,,,,,RWG,R,,W,,,,,,,,,,,,,,
,,5/14/16,2:00 pm,12,26,RYG,5,0,RYG,G,,L,6,RWG,R,, -RW,,,,R,115,178,63,4,
,,,,,,,,,RW,G,TP-G,L/AB,,GYG,R,, -RYG,,,,,,,,,
,,,,,,,,,GWB,G,TP-G,L/T,,RWY,R,, +RW,,TP-G,H,,,,,,
,,,,,,,,,GR,R,TP-R,W/L,,RYB,R,, -GWBl,R,,,,,,,,
